,fields used by students to decide on the labels,,,,,,dropdown list definitions,
http://n2t.net/ark:/65665/300aa3c32-a4c0-4afb-9aa3-7cae3c446190,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay lagoon","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Chaenopsidae",,Marine water body,
http://n2t.net/ark:/65665/300ab2cb6-f5fe-4c5c-8016-b73f13e56249,Fishes,,"Atlantic, Caribbean Sea, Bonaire, Lesser Antilles, Leeward Antilles, Bonaire","Bonaire, Belnem, south of Punt Vierkant,  along R/V Chapman and Curasub downline.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Chaenopsidae",,Marine water body,
http://n2t.net/ark:/65665/300b37351-ecbc-48b1-b99f-420400de7017,Fishes,,"Atlantic, Caribbean Sea, Curacao, Leeward Antilles, ABC Islands, Curacao","Curacao, Boca Sami","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Chaenopsidae",,Marine water body,
http://n2t.net/ark:/65665/30037e209-3a91-43bc-be04-607708a58785,Fishes,,"Atlantic, Bahamas, Bahamian Archipelago, Bahama Islands","Bahamas, Berry Islands, Hoffman Cay (ca. 0.5 miles east)","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Labrisomidae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/3008cf877-526c-4196-95fb-f0dbe394d4eb,Fishes,,"Atlantic, Caribbean Sea, Belize","Belize, sand bores","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Labrisomidae",,Marine water body,
http://n2t.net/ark:/65665/300ba376f-9131-4aed-bb19-e0c26b2e4cd6,Fishes,,"Atlantic, Caribbean Sea, Belize","Belize, Whale Shoals, South Cut, in and out of reef.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Labrisomidae",,Marine water body,
http://n2t.net/ark:/65665/300d50c7f-3012-42cf-9eee-f362d621faa6,Fishes,,"Atlantic, Caribbean Sea, Belize","Belize, between Tobacco Cay and Cay Glory, deep spur and groove","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Labrisomidae",,Marine water body,
http://n2t.net/ark:/65665/301358e1c-899e-4cf5-81cb-0ee1fc937554,Fishes,,"Atlantic, Bahamas, Bahamian Archipelago, Bahama Islands","Bahamas, Berry Islands, Great Stirrup Cay (rotenone), and due east of Great Harbor Cay (hook and line)","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Labrisomidae",,Marine water body,
http://n2t.net/ark:/65665/300037033-1c48-460e-bc43-ce7fb3780a69,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",South tip of Moorea,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Tripterygiidae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/301119b32-2b9b-4a54-8bc8-604dd259d081,Fishes,,"Pacific, Philippines, Iloilo, Philippine Archipelago, Panay","Philippines, Panay Island, Iloilo Province, Iloilo City ""Super"" fish market. Vendors claim caught around Panay although sometimes unsure.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Callionymoidei, Callionymidae",,"Active human occupation site, Marine water body",
http://n2t.net/ark:/65665/300305e51-9cea-4205-af43-7b5f2e04d93c,Fishes,,"Pacific, Philippines, Cagayan, Philippine Archipelago, Luzon","Purchased from market at  Santa Teresita, Cagayan, Philippines. Vendor at market stated that fish was caught in vicinity of  Santa Teresita, Cagayan (province), Luzon, Philippines.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/30064b916-1a30-4ba9-800f-37ed16cdd041,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",North coast of Moorea,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae",,Marine water body,
http://n2t.net/ark:/65665/3001f3995-0805-4630-8263-c21c950047a1,Fishes,,"Atlantic, Caribbean Sea, Trinidad and Tobago, Lesser Antilles, Windward Islands, Tobago","Tobago, Buccoo Reef","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",Marine water body bottom,Marine water body,
http://n2t.net/ark:/65665/300382b14-29ff-4221-ba9d-1ece467b87fb,Fishes,,"Pacific, French Polynesia, Austral Islands, Austral Islands, Raivavae","Austral Islands, Raivavae, just outside harbor entrance on outer reef slope with rock and some coral and white sand in channel.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/3004fd9e7-f030-41e1-a404-bfc67402ad51,Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Curacao","Curacao, Boka San Pedro to left of wind turbines on NW side of island.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/30069af87-4e28-400b-aaec-6f05b2edf197,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize: Carrie Bow Cay, outer ridge","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/3006e35be-b7e3-413b-a93f-13f53fd1ca9f,Fishes,,"Atlantic, Caribbean Sea, Curacao, Leeward Antilles, ABC Islands, Curacao","Curacao, Blue Bay, slope and wall off small lagoon just SE of resort","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/30076c8e2-f413-44cd-9007-b5d7b3a1678a,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay lagoon","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/30078742e-27d3-48d6-82b2-33a59f7c088b,Fishes,,"Atlantic, United States, Florida, St. Lucie County","Florida, St. Lucie County, Harbor Branch","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/300b70579-5244-44fd-bc10-e2c1787a661f,Fishes,,"Atlantic, Caribbean Sea, Belize","Belize, Sand Bores south of Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/300bd53a7-8780-4dcf-9e11-fa3a3c9c317a,Fishes,,"Pacific, Philippines, Batangas, Philippine Archipelago, Maricaban Island","Philippines, Batangas, north side of Maricaban Island, Apol's Rock dive site (across strait from Mainit Point dive site on Calumpang Peninsula)","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/300f6389f-520d-435f-8bda-b70ddc9fec84,Fishes,,"Atlantic, United States, Florida, St. Lucie County","Florida, St. Lucie County, Indian River Lagoon, beach across from Smithsonian Marine Station.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Terrestrial water body,Percidae are a family of ray-finned fish found in fresh and brackish waters 
http://n2t.net/ark:/65665/3011b080b-d8cb-49b7-b2fc-374054f078c0,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/30127cf89-ec8f-463f-8213-baa1a2ffda47,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, south side of Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobiinae",,Marine water body,
http://n2t.net/ark:/65665/300525d4c-7084-4ea2-b14b-4d26dd21122a,Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Klein Curacao","Curacao, Klein Curacao","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobionellinae",,Marine water body,
http://n2t.net/ark:/65665/3006a6568-9756-48dc-ac21-00a737af42e7,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Gobioidei, Gobiidae, Gobionellinae",,Marine water body,
http://n2t.net/ark:/65665/3000be827-4b1d-4ffc-8ed5-50130b28a943,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/30029db2e-b951-41ea-92d3-fd964752f3ab,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, beach-comber-red mark side.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/300accfe7-2008-4875-aef1-e5c4669d1591,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Haapiti Pass, inner reef, facing the pass","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/300b724bd-fe2a-4945-b285-e8ce296922d6,Fishes,,"Pacific, Wallis and Futuna, Futuna","Wallis and Futuna, Futuna Island, exposed rocks off north point, exposed rocky reef and channels.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/300bbf9aa-5ec2-41c4-84ce-078d93405734,Fishes,,"Pacific, Philippines, Negros Oriental, Philippine Archipelago, Negros","Philippines, Negros Oriental, Bais City Market. Vendors claim caught in the vicinity of Bais City, Dauin and Ukyot barangays.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/30106db3b-2c5a-4e62-a1ba-b840346f93d3,Fishes,,"Pacific, Kaneohe Bay, United States, Hawaii, Honolulu County, Hawaiian Islands, Oahu","Hawaii, Oahu, Kaneohe Bay, Coconut Island, southern end, off Point lab.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/30119b021-f689-4ca1-9c98-f29852fb8fab,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, shot hole off Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/3013d489f-a92e-49bd-a96c-fc293ae9814e,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Motu Temae - east mark of Moorea, outer reef","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Labridae",,Marine water body,
http://n2t.net/ark:/65665/300294011-e616-4e40-ac54-965ca4d8c615,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Matautia village.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/3003abb72-9920-4a2f-b131-32af62b28611,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/30049bb89-88ea-47e2-a584-1d48f3911432,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, grass flat in front of Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",Marine water body bottom,Marine water body,
http://n2t.net/ark:/65665/300683b8e-c20d-4c4c-b4dd-1e703e8eb31d,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",North coast of Moorea,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/3006e8afe-3cc8-49fa-bd12-e90ca363ffd7,Fishes,,"Pacific, French Polynesia, Marquesas Islands, Marquesas Islands, Clark Bank","Marquesas, Banc Clark.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/300c6cb36-58b6-42cd-b417-806116915800,Fishes,,"Pacific, Kaneohe Bay, United States, Hawaii, Honolulu County, Hawaiian Islands, Oahu","Hawaii, Oahu, Kaneohe Bay, off windward side of Kekepa Island.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/300d503e6-61dc-4ffd-a09f-90f6bb2766dd,Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Curacao","Curacao, NW Curacao, leeward side, Westpoint, Playa Forti.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/300e74a01-1b59-43bd-b975-354f0e306179,Fishes,,"Pacific, Philippines, Saragani, Philippine Archipelago, Mindanao","Purchased from General Santos Public Market, Philippines. Vendor at market stated that fish was caught in vicinity of  Glan, Saragani (province), Mindanao, Philippines.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/300f0b43d-fca4-43ff-aaa9-785894c83c92,Fishes,,"Pacific, Wallis and Futuna, Futuna","Wallis and Futuna, Futuna Island, east coast, wall of outer reef with sand at base, sparse live coral.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/300f82d6b-ba25-4d15-a48d-57a8b7587579,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",Northeast tip of Moorea,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/3010a7db0-28cf-4a80-966f-399b6287f227,Fishes,,"Pacific, French Polynesia, Tuamotu-Gambier, Gambier Islands, Kouaku","Gambier Archipelago, Kouaku Island, on southeast side of archipelago, small surge channel in outer reef.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Labroidei, Pomacentridae",,Marine water body,
http://n2t.net/ark:/65665/3013b1203-0085-4c01-ae9b-7d077c757a84,Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Curacao","Curacao, off Substation Curacao.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Acropomatidae",,Marine water body,
http://n2t.net/ark:/65665/3005f0fd1-3bda-439c-9722-cabd42953d7a,Fishes,,"Pacific, French Polynesia, Leeward Islands, Society Islands, Scilly Atoll [Manuae]","Scilly Atoll, patch reef at north end of lagoon surrounded by sand","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae",,Marine water body,
http://n2t.net/ark:/65665/3002307c4-2201-456a-b4e9-5218b25e4ffd,Fishes,,"Pacific, French Polynesia, Marquesas Islands, Marquesas Islands, Eiao","Marquesas, Eiao, Vaituha","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/3002de12a-ecb5-42c8-8d58-7febf0234884,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Opunohu Lagoon pinnacle.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/300529752-a028-42e8-ac99-2337d0efa045,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Haapiti Pass, inner reef, facing the pass","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/30058c6ac-249b-48df-8b53-9eab9efc2b05,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/300638c86-faf5-4ca4-8acf-b56e24e61de5,Fishes,,"Atlantic, Caribbean Sea, Curacao, Leeward Antilles, ABC Islands, Curacao","Curacao, Blue Bay","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/3007cf858-4b5c-489d-a67f-56ceaf12c636,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay, inner ridge.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/3007e21e0-541c-4d70-880f-c5cd8f80129e,Fishes,,"Atlantic, Caribbean Sea, Saint Michiel's Bay, Curacao, Lesser Antilles, Leeward Antilles, Curacao","Curacao, Sint Michiel's Bay, to the west of Sanina Sint Michiel's Bay/inlet.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/3009eb257-aaa6-43f4-83db-febf6b9c87d2,Fishes,,"Atlantic, Caribbean Sea, Bahamas, Bahamian Archipelago, Bahama Islands, GreatHarbor Cay","Bahamas, Berry Islands, Great Harbor Cay, Sugar Beach Cave","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/30127cb60-f31d-47e4-94e1-d1447504aec6,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay, dock on ocean side.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/30138e1fb-45b4-4a5c-93d2-e1db5d1ee6a6,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Opunohu Lagoon pinnacle.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Apogoninae",,Marine water body,
http://n2t.net/ark:/65665/300bacf7a-278c-48cc-827c-2b1ec819b619,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Matautia, outer slope.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Apogonidae, Pseudaminae",,Marine water body,
http://n2t.net/ark:/65665/3009d2ed8-553c-4b0e-a478-ad0051fd5111,Fishes,,"Pacific, Sulu Sea, Philippines, Palawan, Philippine Archipelago, Palawan","Philippines, Palawan, Puerto Princesa City market vendor claimed fish were caught in Honda Bay.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Caesionidae",,"Active human occupation site,
Marine water body",
http://n2t.net/ark:/65665/3002cbbab-61bc-481c-9aa6-7dc72e4233bf,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",Northwest tip of Moorea,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae",Marine water body,Marine water body,
http://n2t.net/ark:/65665/3009852ed-40fe-4e3a-9b8e-57ed2580cdfc,Fishes,,"Pacific, Philippines","Philippines, Metro Manila, Cubao, farmer's market","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae",,"Active human occupation site, Marine water body",
http://n2t.net/ark:/65665/300a4823c-fcf2-4526-8cde-be8a9c9f3977,Fishes,,"Pacific, Sulu Sea, Philippines, Palawan, Philippine Archipelago, Palawan","Philippines, northeastern Palawan, Taytay City market.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae",,"Active human occupation site,
Marine water body",
http://n2t.net/ark:/65665/300cb5302-41ba-4e24-aad5-b8d483b55ffb,Fishes,,"Pacific, Panama",,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae",,Marine water body,
http://n2t.net/ark:/65665/3013c31e6-acd6-47a5-ac43-cbe5da5a7389,Fishes,,"North America, United States, Maryland, Prince George`s County","Maryland, Prince George`s County, Potomac River, Piscataway Creek","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Centrarchidae",,Terrestrial water body,Percidae are a family of ray-finned fish found in fresh and brackish waters 
http://n2t.net/ark:/65665/30088b80c-f7b2-46d3-b53c-8c9e1c1c2234,Fishes,,"Pacific, Kaneohe Bay, United States, Hawaii, Honolulu County, Hawaiian Islands, Oahu","Hawaii, Oahu, Kaneohe Bay, off windward side of Kekepa Island.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Chaetodontidae",,Marine water body,
http://n2t.net/ark:/65665/300ee3542-7b3a-4567-9829-226242fdcd4d,Fishes,,"Pacific, Wallis and Futuna, Futuna","Wallis and Futuna, Futuna Island, west of Nuku Harbor on south side of island, canyons on outer reef.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Chaetodontidae",,Marine water body,
http://n2t.net/ark:/65665/300c13ddc-132c-4fcf-8bdb-100d2938297f,Fishes,,"Pacific, Kaneohe Bay, United States, Hawaii, Honolulu County, Hawaiian Islands, Oahu","Hawaii, Oahu, Kaneohe Bay, off windward side of Kekepa Island.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Cirrhitidae",,Marine water body,
http://n2t.net/ark:/65665/301128634-6051-4e69-9717-d894aa3c6116,Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay, near south of South Cut","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Cirrhitidae",,Marine water body,
http://n2t.net/ark:/65665/300c53bd9-a84c-4dc0-aaa1-c637649b510a,Fishes,,"Pacific, Philippines, Cebu, Philippine Archipelago, Visayas, Cebu","Philippines, Cebu City, Carbon market. The vendor claimed that it was caught in Cebu Strait.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Haemulidae",,"Active human occupation site, Marine water body",
http://n2t.net/ark:/65665/30020bc68-202c-4326-8086-b7a67d715476,Fishes,,"Pacific, Philippines","Philippines, Metro Manila, Cubao, farmer's market","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Lethrinidae","Marine water body,
Active human occupation site",Marine water body,tricky!
http://n2t.net/ark:/65665/30065bbc7-d54c-4612-a112-e01667a4e144,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Club Med.","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Lethrinidae",,Marine water body,
http://n2t.net/ark:/65665/30088928b-3498-4a8d-bbc2-2e9569665ddc,Fishes,,"Pacific, Philippines, Batangas, Luzon","Philippines, Batangas, market","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Lethrinidae",,"Active human occupation site,
Marine water body",? sampled in fish market?
http://n2t.net/ark:/65665/3005f6480-5318-4045-9835-abec9c5d3682,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Opunohu, outer reef on the red mark side of the pass","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Lutjanidae, Etelinae",,Marine water body,
http://n2t.net/ark:/65665/3000a3a06-83d8-4883-960f-c739d07dbd18,Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Mid Bay, West Opunoho","Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Lutjanidae, Lutjaninae","Marine water body,
Subaerial surface environment",Marine water body,Collection Method:Hand net with anaesthetic -- implies sampling water body; Lutjanidae are mostly marine fish
